application_id,trial,application_class,strategy,api_dependency,kernel_dependency,hardware_dependency,licensing_dependency,packaging_support,compatibility_outcome,compatibility_score,setup_effort,runtime_overhead,integration_score,windows_dependency_retained,random_seed,score_before_noise,score_after_penalties,dependency_risk_index,notes
APP-0001,1,productivity,native_linux,medium,none,standard_device,online_activation,app_profile,full,80.44,3.59,3.54,96.14,0,42,95,90.2,29.2,synthetic row; not a real application benchmark
APP-0002,2,productivity,native_linux,low,none,none,online_activation,app_profile,full,92.53,9.31,2.94,95.56,0,42,95,92.2,14.0,synthetic row; not a real application benchmark
APP-0003,3,productivity,native_linux,medium,none,standard_device,online_activation,app_profile,full,89.28,6.08,5.73,96.78,0,42,95,90.2,29.2,synthetic row; not a real application benchmark
APP-0004,4,productivity,native_linux,medium,none,none,none,app_profile,full,97.06,5.72,7.08,97.37,0,42,95,95.0,8.0,synthetic row; not a real application benchmark
APP-0005,5,productivity,native_linux,low,none,none,none,app_profile,full,94.43,0.0,0.35,100.0,0,42,95,95.0,0.0,synthetic row; not a real application benchmark
APP-0006,6,productivity,native_linux,medium,service,none,offline_activation,app_profile,full,87.82,9.53,3.63,97.62,0,42,95,91.15,34.75,synthetic row; not a real application benchmark
APP-0007,7,productivity,native_linux,medium,none,none,none,app_profile,full,96.45,6.53,0.0,97.72,0,42,95,95.0,8.0,synthetic row; not a real application benchmark
APP-0008,8,productivity,native_linux,medium,none,none,none,app_profile,full,90.67,7.87,0.0,97.66,0,42,95,95.0,8.0,synthetic row; not a real application benchmark
APP-0009,9,productivity,native_linux,medium,none,none,offline_activation,app_profile,full,91.66,3.75,4.52,98.23,0,42,95,93.4,16.0,synthetic row; not a real application benchmark
APP-0010,10,productivity,native_linux,medium,none,none,none,app_profile,full,95.71,6.76,1.95,99.63,0,42,95,95.0,8.0,synthetic row; not a real application benchmark
APP-0011,11,productivity,native_linux,medium,none,standard_device,none,app_profile,full,91.18,4.47,0.89,99.35,0,42,95,93.0,15.2,synthetic row; not a real application benchmark
APP-0012,12,productivity,native_linux,low,none,none,online_activation,app_profile,full,95.53,4.41,1.15,98.68,0,42,95,92.2,14.0,synthetic row; not a real application benchmark
APP-0013,13,productivity,native_linux,medium,none,none,hardware_dongle,app_profile,full,91.4,5.98,2.04,100.0,0,42,95,89.4,36.0,synthetic row; not a real application benchmark
APP-0014,14,productivity,native_linux,medium,none,none,none,app_profile,full,90.25,2.64,4.48,92.09,0,42,95,95.0,8.0,synthetic row; not a real application benchmark
APP-0015,15,productivity,native_linux,low,none,none,online_activation,app_profile,full,92.56,2.68,2.47,99.09,0,42,95,92.2,14.0,synthetic row; not a real application benchmark
APP-0016,16,productivity,native_linux,medium,none,none,offline_activation,app_profile,full,94.5,11.04,4.47,100.0,0,42,95,93.4,16.0,synthetic row; not a real application benchmark
